time,latitude,longitude,depth,mag,magType,place,type,magNst,status,locationSource,magSource
2020-08-29T04:43:16.840Z,35.7163333,-117.4876667,6.54,0.72,ml,"10km SW of Searles Valley, CA",earthquake,8.0,automatic,ci,ci
2020-08-29T04:42:14.015Z,18.0995,-66.8889,10.0,2.7,ml,"6 km NNE of Lluveras, Puerto Rico",earthquake,33.0,reviewed,us,us
2020-08-29T03:17:41.220Z,-17.3625,-178.9991,552.42,4.5,mb,"194 km ENE of Levuka, Fiji",earthquake,34.0,reviewed,us,us
2020-08-29T03:15:56.310Z,39.3608322,-123.2545013,5.45,1.71,md,"10km ESE of Willits, CA",earthquake,10.0,automatic,nc,nc
2020-08-29T03:11:37.050Z,19.24200058,-155.3890076,30.48999977,2.23,ml,"10 km ENE of Pāhala, Hawaii",earthquake,6.0,automatic,hv,hv
2020-08-29T03:09:39.450Z,33.967,-117.8468333,0.98,1.42,ml,"6km E of Rowland Heights, CA",earthquake,22.0,automatic,ci,ci
2020-08-29T02:25:00.280Z,38.8246651,-122.8034973,2.5,0.55,md,"7km NW of The Geysers, CA",earthquake,1.0,automatic,nc,nc
2020-08-29T02:19:52.060Z,19.41650009,-155.2810059,-0.170000002,1.87,ml,"5 km WSW of Volcano, Hawaii",earthquake,6.0,automatic,hv,hv
2020-08-29T02:19:05.130Z,19.42149925,-155.2776642,0.310000002,1.81,ml,"5 km WSW of Volcano, Hawaii",earthquake,5.0,automatic,hv,hv
2020-08-29T02:19:02.230Z,38.8071671,-122.7959976,1.22,1.02,md,"5km NW of The Geysers, CA",earthquake,4.0,automatic,nc,nc
2020-08-29T02:13:57.640Z,34.1333333,-116.8438333,24.24,0.98,ml,"14km SSE of Big Bear Lake, CA",earthquake,10.0,automatic,ci,ci
2020-08-29T02:01:12.320Z,38.8095016,-122.8176651,1.98,0.55,md,"6km NW of The Geysers, CA",earthquake,1.0,automatic,nc,nc
2020-08-29T01:31:28.350Z,38.7786674,-122.7231674,1.61,0.73,md,"3km W of Anderson Springs, CA",earthquake,3.0,automatic,nc,nc
2020-08-29T00:19:07.350Z,38.8376656,-122.8373337,3.06,0.57,md,"10km NW of The Geysers, CA",earthquake,1.0,automatic,nc,nc
2020-08-29T00:18:28.116Z,39.6585,20.3084,10.0,4.5,mwr,"6 km N of Filiátes, Greece",earthquake,15.0,reviewed,us,us
2020-08-29T00:18:17.150Z,35.9638329,-120.5195007,9.95,1.12,md,"11km NW of Parkfield, CA",earthquake,5.0,automatic,nc,nc
2020-08-29T00:18:11.760Z,33.7113333,-116.7245,16.72,0.89,ml,"3km S of Idyllwild, CA",earthquake,29.0,automatic,ci,ci
2020-08-28T23:46:08.760Z,35.9748333,-117.3176667,2.47,0.58,ml,"24km NNE of Trona, CA",earthquake,6.0,reviewed,ci,ci
2020-08-28T23:46:00.880Z,19.42700005,-155.2734985,-0.310000002,1.85,ml,"4 km WSW of Volcano, Hawaii",earthquake,7.0,automatic,hv,hv
2020-08-28T23:32:13.941Z,36.97386932,-98.02283478,5.533517361,1.81,ml,"2 km SSE of Manchester, Oklahoma",earthquake,10.0,automatic,ok,ok
2020-08-28T22:44:07.900Z,35.7315,-117.5311667,6.28,0.34,ml,"12km WSW of Searles Valley, CA",earthquake,5.0,reviewed,ci,ci
2020-08-28T22:43:44.060Z,38.1419,-117.9733,11.2,2.3,ml,"30 km SSE of Mina, Nevada",earthquake,15.0,reviewed,nn,nn
2020-08-28T22:42:56.300Z,46.85366667,-121.7618333,1.25,0.12,ml,"23 km ENE of Ashford, Washington",earthquake,6.0,reviewed,uw,uw
2020-08-28T22:38:00.540Z,36.0253334,-120.5856705,3.47,1.69,md,"20km NW of Parkfield, CA",earthquake,8.0,automatic,nc,nc
2020-08-28T22:26:13.630Z,38.8101654,-122.8026657,1.67,1.02,md,"5km NW of The Geysers, CA",earthquake,5.0,automatic,nc,nc
2020-08-28T22:22:27.530Z,37.6318333,-118.8626667,5.74,1.38,md,"10km E of Mammoth Lakes, CA",earthquake,13.0,reviewed,nc,nc
2020-08-28T22:22:19.170Z,37.6345,-118.8506667,7.03,1.76,md,"11km E of Mammoth Lakes, CA",earthquake,20.0,reviewed,nc,nc
2020-08-28T22:21:42.330Z,38.0286674,-118.8128357,2.69,1.76,md,"27km SE of Bodie, CA",earthquake,4.0,automatic,nc,nc
2020-08-28T22:15:20.430Z,31.5008333,-115.666,9.4,2.59,ml,"89km ESE of Maneadero, B.C., MX",earthquake,39.0,reviewed,ci,ci
2020-08-28T22:13:43.740Z,38.8419991,-122.8391647,1.69,0.58,md,"10km NW of The Geysers, CA",earthquake,2.0,automatic,nc,nc
2020-08-28T22:04:13.480Z,19.22516632,-155.4013367,31.59000015,1.98000002,md,"8 km ENE of Pāhala, Hawaii",earthquake,6.0,automatic,hv,hv
2020-08-28T21:53:43.560Z,38.8101654,-122.8209991,3.16,0.57,md,"7km WNW of The Geysers, CA",earthquake,2.0,automatic,nc,nc
2020-08-28T21:35:08.250Z,35.8248333,-117.6695,7.34,0.8,ml,"23km N of Ridgecrest, CA",earthquake,9.0,reviewed,ci,ci
2020-08-28T21:33:36.470Z,36.5690002,-121.0966644,11.24,1.38,md,"6km NE of Pinnacles, CA",earthquake,6.0,automatic,nc,nc
2020-08-28T21:22:15.480Z,48.81416667,-123.7945,-0.31,0.71,ml,Washington-British Columbia border region,explosion,2.0,reviewed,uw,uw
2020-08-28T21:16:02.950Z,18.978,-67.6803,3.0,3.14,md,"81 km NW of San Antonio, Puerto Rico",earthquake,14.0,reviewed,pr,pr
2020-08-28T21:10:29.450Z,38.776001,-122.7251663,1.32,1.95,md,"3km E of The Geysers, CA",earthquake,12.0,automatic,nc,nc
2020-08-28T21:07:41.790Z,37.4828333,-113.4761667,7.71,1.36,ml,Utah,earthquake,3.0,reviewed,uu,uu
2020-08-28T21:06:49.340Z,38.8154984,-122.7446671,2.43,0.57,md,"2km WSW of Cobb, CA",earthquake,1.0,automatic,nc,nc
2020-08-28T20:58:46.900Z,33.3648333,-116.9513333,6.53,0.84,ml,"8km W of Palomar Observatory, CA",earthquake,20.0,reviewed,ci,ci
