time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-08-29T04:43:16.840Z,35.7163333,-117.4876667,6.54,0.72,ml,11,170,0.1312,0.21,ci,ci39364199,2020-08-29T04:46:50.717Z,"10km SW of Searles Valley, CA",earthquake,0.72,1.91,0.1,8,automatic,ci,ci
2020-08-29T04:42:14.015Z,18.0995,-66.8889,10,2.7,ml,,76,0.057,0.63,us,us7000beps,2020-08-29T04:51:15.040Z,"6 km NNE of Lluveras, Puerto Rico",earthquake,1,1.6,0.063,33,reviewed,us,us
2020-08-29T04:16:09.286Z,61.0435,-151.8613,78,1.8,ml,,,,0.98,ak,ak020b4aj638,2020-08-29T04:23:56.192Z,"39 km W of Tyonek, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-08-29T04:13:49.020Z,38.1768,-117.7658,8.6,0.9,ml,11,86.37,0.036,0.21,nn,nn00770575,2020-08-29T04:40:39.348Z,"38 km SE of Mina, Nevada",earthquake,,2.4,,,automatic,nn,nn
2020-08-29T04:11:10.890Z,38.1867,-117.864,13.9,0.8,ml,14,99.76,0.037,0.1,nn,nn00770573,2020-08-29T04:14:59.062Z,"31 km SE of Mina, Nevada",earthquake,,1.2,,,automatic,nn,nn
2020-08-29T03:55:39.630Z,38.2498,-117.7638,5.4,1.6,ml,18,142.43,0.019,0.1,nn,nn00770569,2020-08-29T04:04:20.308Z,"33 km ESE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-08-29T03:29:19.360Z,38.146,-117.8732,11.6,1.6,ml,16,77,0.025,0.12,nn,nn00770564,2020-08-29T03:45:40.046Z,Nevada,earthquake,,0.8,,,automatic,nn,nn
2020-08-29T03:17:41.220Z,-17.3625,-178.9991,552.42,4.5,mb,,81,2.838,0.37,us,us7000bep8,2020-08-29T03:36:51.040Z,"194 km ENE of Levuka, Fiji",earthquake,7.1,9.1,0.092,34,reviewed,us,us
2020-08-29T03:15:56.310Z,39.3608322,-123.2545013,5.45,1.71,md,12,126,0.07135,0.04,nc,nc73450911,2020-08-29T04:54:03.587Z,"10km ESE of Willits, CA",earthquake,0.28,1.06,0.22,10,automatic,nc,nc
2020-08-29T03:11:37.050Z,19.24200058,-155.3890076,30.48999977,2.23,ml,45,140,,0.129999995,hv,hv72109621,2020-08-29T03:17:08.200Z,"10 km ENE of Pāhala, Hawaii",earthquake,0.63,0.889999986,3.65,6,automatic,hv,hv
